plane	u	v	itype	typecode	x0	y0	irot	nvertices	vx_0	vy_0	vx_1	vy_1	vx_2	vy_2	vx_3	vy_3	vx_4	vy_4	vx_5	vy_5	vx_6	vy_6	icassette	trigRate	trigLinks	dataRate_ld	dataLinks_ld	dataRate_hd	dataLinks_hd	MB	wagon	isEngine	nROCs	power	mrot	phi	HDorLD	hash	hash_hdld	engine_trig_fibres	engine_data_fibres	engine_ctrl_fibres	dataPp0	trigPp0	dataPp0_type	trigPp0_type	dataPp1	trigPp1	dataPp1_type	trigPp1_type	dataPp2	DAQ
1	4	0	WH21AT	WH21AT	-	-	3	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	19	14	9	0	0	0	0	0	0	-	3	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.3:M3.3"	-	-	-	-	-	-	-
1	4.5	0	EH10F0	EH10F0	758.48	2.37	3	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	19	14	9	-	-	0	-	1	-	-	-	-	1	-	-	3	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.3:M3.3"	-	-	-	-	-	-	-
1	4	4	WH21AT	WH21AT	-	-	4	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	19	14	9	0	0	100	0	0	0	-	4	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.3:M3.3"	-	-	-	-	-	-	-
1	4.5	4.5	EH10F0	EH10F0	377.188	658.048	4	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	19	14	9	-	-	100	-	1	-	-	-	-	1	-	-	3	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.3:M3.3"	-	-	-	-	-	-	-
2	4	0	WH21AD	WH21AD	-	-	0	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	0	14	10	0	0	0	0	0	0	-	0	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
2	4.5	0	EH10F0	EH10F0	-758.48	2.37	0	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	0	14	10	-	-	0	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
2	4	4	WH21AD	WH21AD	-	-	5	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	0	14	10	0	0	100	0	0	0	-	5	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
2	4.5	4.5	EH10F0	EH10F0	-377.188	658.048	5	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	0	14	10	-	-	100	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
3	4	0	WH21AT	WH21AT	-	-	3	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	23	14	12	0	0	0	0	0	0	-	3	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
3	4.5	0	EH10F0	EH10F0	758.48	2.37	3	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	23	14	12	-	-	0	-	1	-	-	-	-	1	-	-	4	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
3	4	4	WH21AT	WH21AT	-	-	4	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	23	14	12	0	0	100	0	0	0	-	4	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
3	4.5	4.5	EH10F0	EH10F0	377.188	658.048	4	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	23	14	12	-	-	100	-	1	-	-	-	-	1	-	-	4	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
4	4	0	WH21AD	WH21AD	-	-	0	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	0	14	10	0	0	0	0	0	0	-	0	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
4	4.5	0	EH10F0	EH10F0	-758.48	2.37	0	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	0	14	10	-	-	0	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
4	4	4	WH21AD	WH21AD	-	-	5	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	0	14	10	0	0	100	0	0	0	-	5	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
4	4.5	4.5	EH10F0	EH10F0	-377.188	658.048	5	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	0	14	10	-	-	100	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
5	4	0	WH21AT	WH21AT	-	-	3	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	23	14	12	0	0	0	0	0	0	-	3	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
5	4.5	0	EH10F0	EH10F0	758.48	2.37	3	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	23	14	12	-	-	0	-	1	-	-	-	-	1	-	-	4	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
5	4	4	WH21AT	WH21AT	-	-	4	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	23	14	12	0	0	100	0	0	0	-	4	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
5	4.5	4.5	EH10F0	EH10F0	377.188	658.048	4	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	23	14	12	-	-	100	-	1	-	-	-	-	1	-	-	4	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
6	4	0	WH21AD	WH21AD	-	-	0	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	0	14	10	0	0	0	0	0	0	-	0	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
6	4.5	0	EH10F0	EH10F0	-758.48	2.37	0	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	0	14	10	-	-	0	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
6	4	4	WH21AD	WH21AD	-	-	5	3	4	4	3	3	2	2	-	-	-	-	-	-	-	-	2	23	0	14	10	0	0	100	0	0	0	-	5	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
6	4.5	4.5	EH10F0	EH10F0	-377.188	658.048	5	F	4	4	5	5	-	-	-	-	-	-	-	-	-	-	2	28	0	14	10	-	-	100	-	1	-	-	-	-	1	-	-	0	2	2	2	-	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3"	-	-	-	-	-	-	-
7	4	0	WH21AT	WH21AT	-	-	3	3	4	0	3	0	2	0	-	-	-	-	-	-	-	-	1	23	21	14	11	0	0	0	0	0	0	-	3	-	1	-	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T3.1:M2.8,T4.0:M1.3,T4.1:M1.4,T4.2:M1.5,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.0:M1.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	1000F6000F9000g80	-	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
7	4.5	0	EH10F0	EH10F0	758.48	2.37	3	F	4	0	5	0	-	-	-	-	-	-	-	-	-	-	1	28	21	14	11	-	-	0	-	1	-	-	-	-	1	-	-	4	2	2	2	"T1.0:M1.0,T1.1:M1.1,T1.2:M1.2,T1.3:M3.0,T1.4:M3.1,T1.5:M3.2,T1.6:M3.3,T2.0:M2.0,T2.1:M2.1,T2.2:M2.2,T2.3:M2.3,T2.4:M2.4,T2.5:M2.5,T2.6:M2.6,T3.0:M2.7,T4.0:M1.3,T4.1:M1.4,T4.3:M3.4,T4.4:M3.5,T4.5:M3.6,T4.6:M3.7"	"D1.0:M1.0,D1.1:M1.1,D1.2:M2.0,D1.3:M2.1,D1.4:M3.0,D1.5:M3.1,D1.6:M3.2,D2.1:M2.2,D2.2:M2.3,D2.3:M3.3,D2.4:M3.4"	-	-	-	-	-	-	-
