plane	u	v	itype	typecode	x0	y0	irot	nvertices	vx_0	vy_0	vx_1	vy_1	vx_2	vy_2	vx_3	vy_3	vx_4	vy_4	vx_5	vy_5	vx_6	vy_6	icassette	trigRate	trigLinks	dataRate_ld	dataLinks_ld	dataRate_hd	dataLinks_hd	MB	wagon	isEngine	nROCs	power	mrot	phi	HDorLD	hash	hash_hdld	engine_trig_fibres	engine_data_fibres	engine_ctrl_fibres	dataPp0	trigPp0	dataPp0_type	trigPp0_type	dataPp1	trigPp1	dataPp1_type	trigPp1_type	dataPp2	DAQ
39	3	1	ZPHSL0	ZPHSL0	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
39	3	1	CM3SRD	CM3SRD	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
40	2	6	WE21A1	WE21A1	-159.119	716.459	5	3	2	6	2	5	2	4	-	-	-	ZPHSL0	-	-	-	-	4	7	6	4	3	1	0	1	1	0	0	-	5	-	0	-	-	"TE.6:M1.0,TE.5:M1.1,TE.4:M2.0,TE.3:M2.1,TE.2:M3.0,TE.1:M3.1"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	0001F2000F2005d20	TE.0:X.0	"TE.1:M3.1,TE.2:M3.0,TE.3:M2.1,TE.4:M2.0,TE.5:M1.1,TE.6:M1.0"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	-	-	-	-	-	-	-
40	2	4	ZPHSL0	ZPHSL0	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
40	2	4	CM3SRD	CM3SRD	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
41	5	3	WE21A1	WE21A1	540.901	496.029	4	3	5	3	4	2	3	1	-	-	-	ZPHSL0	-	-	-	-	2	7	6	4	3	1	0	7	1	0	0	-	4	-	0	-	-	"TE.6:M1.0,TE.5:M1.1,TE.4:M2.0,TE.3:M2.1,TE.2:M3.0,TE.1:M3.1"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	0001F2000F2005d20	TE.0:X.0	"TE.1:M3.1,TE.2:M3.0,TE.3:M2.1,TE.4:M2.0,TE.5:M1.1,TE.6:M1.0"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	-	-	-	-	-	-	-
41	3	1	ZPHSL0	ZPHSL0	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
41	3	1	CM3SRD	CM3SRD	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
42	2	6	WE21A1	WE21A1	-159.119	716.459	5	3	2	6	2	5	2	4	-	-	-	ZPHSL0	-	-	-	-	4	7	6	4	3	1	0	1	1	0	0	-	5	-	0	-	-	"TE.6:M1.0,TE.5:M1.1,TE.4:M2.0,TE.3:M2.1,TE.2:M3.0,TE.1:M3.1"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	0001F2000F2005d20	TE.0:X.0	"TE.1:M3.1,TE.2:M3.0,TE.3:M2.1,TE.4:M2.0,TE.5:M1.1,TE.6:M1.0"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	-	-	-	-	-	-	-
42	2	4	ZPHSL0	ZPHSL0	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
