plane,u,v,itype,typecode,x0,y0,irot,nvertices,vx_0,vy_0,vx_1,vy_1,vx_2,vy_2,vx_3,vy_3,vx_4,vy_4,vx_5,vy_5,vx_6,vy_6,icassette,trigRate,trigLinks,dataRate_ld,dataLinks_ld,dataRate_hd,dataLinks_hd,MB,wagon,isSiPM,isEngine,nROCs,power,mrot,phi,HDorLD,hash,hash_hdld,engine_trig_fibres,engine_data_fibres,engine_ctrl_fibres,dataPp0,trigPp0,dataPp0_type,trigPp0_type,dataPp1,trigPp1,dataPp1_type,trigPp1_type,dataPp2,DAQ,rho,isHalfHDE,Local,Local_LDE,Local_HDE,Local_LDP,Remote,Remote_LR,Remote_HDEs_T,Remote_HDEs_B,Remote_HDEd,Remote_LDPs_T,Remote_LDPs_B,Remote_LDPd,Remote_HDPs_T,Remote_HDPs_B,Remote_HDPd,Local_ispowering,Local_LDE_ispowering,Local_HDE_ispowering,Local_LDP_ispowering,Remote_ispowering,Remote_LR_ispowering,Remote_HDEs_T_ispowering,Remote_HDEs_B_ispowering,Remote_HDEd_ispowering,Remote_LDPs_T_ispowering,Remote_LDPs_B_ispowering,Remote_LDPd_ispowering,Remote_HDPs_T_ispowering,Remote_HDPs_B_ispowering,Remote_HDPd_ispowering,LD_Hexaboard_ispowered,LD_Hexaboard_ispowered_by,LDE_ispowered,LDE_ispowered_by,HDE_ispowered,HDE_ispowered_by,HD_Hexaboard_ispowered,HD_Hexaboard_ispowered_by,LDP_Hexaboard_ispowered,LDP_Hexaboard_ispowered_by,HDP_Hexaboard_ispowered,HDP_Hexaboard_ispowered_by,PCB_Local,PCB_Remote,Busbar_10V,Busbar_10V_D,Busbar_1V5_1,Busbar_1V5_2,Busbar_1V5_3,Busbar_HD_DB,Power_Total,LV_Group
1,5,1,FI,MH-F2W,758.48,147.55,3,6,758.5,50.7,842.3,99.2,842.3,195.9,758.5,244.4,674.7,195.9,674.7,99.2,758.5,50.7,1,3.425,4,1.484,2,1.512,2,1,0,0,True,6,7.2,0,11.008,1,105010,105011,4,2,2,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_3,A,B,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_3,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,772.698461820651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;9;1,True,1;6;1,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H1L-FE-F,17.71724566013505,2.0
1,5,2,FI,MH-F2W,674.66,292.73,3,6,674.7,195.9,758.5,244.4,758.5,341.2,674.7,389.5,590.8,341.2,590.8,244.4,674.7,195.9,1,3.693,4,1.568,2,1.607,2,3,0,0,True,6,7.2,0,23.456,1,105020,105021,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,735.4297848877212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;6;2,True,1;9;2,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H4L-FE-F,18.99397823081418,3.0
1,5,3,FI,MH-F2W,590.84,437.9,3,6,590.8,341.2,674.7,389.5,674.7,486.3,590.8,534.7,507.0,486.3,507.0,389.5,590.8,341.2,1,3.661,4,1.568,2,1.605,2,3,0,0,False,6,7.2,0,36.544,1,105030,105031,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,735.4239019776282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,True,1;7;2,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-2tH2L-FE-F,11.904780091808535,3.0
1,5,4,FI,MH-F2W,507.02,583.09,4,6,507.0,486.3,590.8,534.7,590.8,631.5,507.0,679.9,423.2,631.5,423.2,534.7,507.0,486.3,1,3.419,4,1.479,2,1.507,2,2,0,0,True,6,7.2,0,48.992,1,105040,105041,3,2,2,PP0(CE-)L1/C01_FO_1_3,PP0(CE-)L1/C01_FO_2_2,C,A,PP1(CE-)5_FO_1_3,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_8,DAQ_1_5,772.6986660400029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,False,0;0;0,False,0;0;0,True,1;9;7,True,1;8;7,False,0;0;0,False,0;0;0,,,,,,,,BB1V5-1H3L-FE-F,17.717515158085092,6.0
1,6,0,FO,ML-F3W,1009.93,2.37,0,6,1009.9,-94.4,1093.8,-46.0,1093.8,50.7,1009.9,99.2,926.1,50.7,926.1,-46.0,1009.9,-94.4,1,2.62,3,0.85,1,0.809,1,9,0,0,True,3,3.6,0,0.134,0,106000,106000,2,1,1,PP0(CE-)L1/C01_FO_1_2,PP0(CE-)L1/C01_FO_2_2,A,A,PP1(CE-)5_FO_1_2,PP1(CE-)3_FO_2_2,Ap,Ap,PPFO(CE-)X5_9,DAQ_1_6,1009.9327808324671,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1;6;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;2;0,True,1;6;0,True,1;7;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,DC-RDP,,,,,,,13.7557073567349,1.0
1,6,1,FO,ML-F3W,926.12,147.55,0,6,926.1,50.7,1009.9,99.2,1009.9,195.9,926.1,244.4,842.3,195.9,842.3,99.2,926.1,50.7,1,2.91,3,0.957,1,0.911,1,8,0,0,False,3,3.6,0,9.052,0,106010,106010,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,937.800222275512,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1;6;1,0;0;0,0;0;0,0;0;0,1;5;1,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;6;1,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,DC-RHH,,,BB1V5-1H1L-FE-F,BB1V5-2H3L-FE-F,BB1V5-3H2L-FE-FS,,11.730436122961144,2.0
1,6,2,FM,ML-F3W,842.3,292.73,0,6,842.3,195.9,926.1,244.4,926.1,341.2,842.3,389.5,758.5,341.2,758.5,244.4,842.3,195.9,1,2.924,3,1.011,2,0.985,2,7,0,0,False,3,3.6,0,19.164,0,106020,106020,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,891.7175241633417,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1;6;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;5;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;6;2,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,DC-RST,,,BB1V5-1H4L-FE-F,BB1V5-2H3L-FE-F,BB1V5-2tH2L-FE-F,,10.449774943467316,3.0
1,6,3,FM,ML-F3W,758.48,437.9,4,6,758.5,341.2,842.3,389.5,842.3,486.3,758.5,534.7,674.7,486.3,674.7,389.5,758.5,341.2,1,2.99,4,1.045,2,1.02,2,6,1,0,False,3,3.6,0,30.0,0,106030,106030,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,875.8129482943262,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1;6;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;6;3,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,,,,,,,,8.706700264192735,5.0
1,6,4,FM,ML-F3W,674.66,583.09,4,6,674.7,486.3,758.5,534.7,758.5,631.5,674.7,679.9,590.8,631.5,590.8,534.7,674.7,486.3,1,2.903,3,1.008,2,0.983,1,5,1,0,False,3,3.6,0,40.836,0,106040,106040,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,891.7174797546586,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1;6;4,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;6;4,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,,,,,,,,8.592573654595546,6.0
1,6,5,FO,ML-F3W,590.84,728.27,1,6,590.8,631.5,674.7,679.9,674.7,776.7,590.8,825.0,507.0,776.7,507.0,679.9,590.8,631.5,1,2.902,3,0.957,1,0.911,1,4,0,0,False,3,3.6,0,50.948,0,106050,106050,2,1,1,PP0(CE-)L1/C01_FO_1_1,PP0(CE-)L1/C01_FO_2_1,A,A,PP1(CE-)5_FO_1_1,PP1(CE-)3_FO_2_1,Ap,Ap,PPFO(CE-)X5_3,DAQ_1_2,937.8001378225533,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1;6;5,0;0;0,0;0;0,0;0;0,1;3;2,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,True,1;6;5,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,False,0;0;0,DC-LLH,DC-RHH,,,BB1V5-1H3L-FE-F,BB1V5-2H2L-FE-F,BB1V5-3H1L-FE-F,,11.79323134204159,5.0
